#----------------,--------------------,---------------------,---------,---------,----------
#  NAME          ,  RAJ               ,  DECJ               ,   DIST  , AGE     , EDOT
#                ,  (hms)             ,  (dms)              ,   (kpc) , (Yr)    , (ergs/s)
#----------------,--------------------,---------------------,---------,---------,----------
   J0002+6216    ,  00:02:58.17       ,  +62:16:09.4        ,   6.357 , 3.06e+05, 1.5e+35
   J0007+7303    ,  00:07:01.7        ,  +73:03:07.4        ,   1.400 , 1.39e+04, 4.5e+35
   J0023+0923    ,  00:23:16.877498   ,  +09:23:23.8604     ,   1.818 , 4.23e+09, 1.6e+34
   B0021-72E     ,  00:24:11.10528    ,  -72:05:20.1492     ,   4.690 , 5.69e+08, 8.8e+34
   B0021-72F     ,  00:24:03.85547    ,  -72:04:42.8183     ,   4.690 , 6.44e+08, 1.4e+35
   J0024-7204O   ,  00:24:04.65254    ,  -72:04:53.7670     ,   4.690 , 1.38e+09, 6.5e+34
   J0024-7204P   ,  00:24:20          ,  -72:04:10          ,   4.690 , 8.7e+07 , 5.4e+35
   J0024-7204Q   ,  00:24:16.4909     ,  -72:04:25.1644     ,   4.690 , 1.88e+09, 2.0e+34
   J0024-7204R   ,  00:24:07.5851     ,  -72:04:50.3954     ,   4.690 , 3.72e+08, 1.4e+35
   J0024-7204T   ,  00:24:08.5491     ,  -72:04:38.932      ,   4.690 , 4.09e+08, 2.7e+34
   J0024-7204U   ,  00:24:09.8366     ,  -72:03:59.6882     ,   4.690 , 7.23e+08, 4.6e+34
   J0034-0534    ,  00:34:21.83422    ,  -05:34:36.722      ,   1.348 , 5.99e+09, 3.0e+34
   J0058-7218    ,  00:58:16.7        ,  -72:18:06          ,   59.700, 1.19e+04, 1.1e+38
   J0101-6422    ,  01:01:11.1163     ,  -64:22:30.171      ,   1.002 , 7.9e+09 , 1.2e+34
   J0102+4839    ,  01:02:50.668      ,  +48:39:42.76       ,   2.310 , 4.01e+09, 1.8e+34
   J0106+4855    ,  01:06:25.06       ,  +48:55:51.8        ,   3.063 , 3.08e+06, 2.9e+34
   B0114+58      ,  01:17:38.661      ,  +59:14:38.39       ,   1.768 , 2.75e+05, 2.2e+35
   B0136+57      ,  01:39:19.7401     ,  +58:14:31.819      ,   2.600 , 4.03e+05, 2.1e+34
   J0205+6449    ,  02:05:37.92247    ,  +64:49:41.3343     ,   3.200 , 5.37e+03, 2.7e+37
   J0218+4232    ,  02:18:06.358569   ,  +42:32:17.37515    ,   3.150 , 4.76e+08, 2.4e+35
   J0248+4230    ,  02:48:31.003      ,  +42:30:20.49       ,   1.853 , 2.44e+09, 3.8e+34
   J0248+6021    ,  02:48:18.617      ,  +60:21:34.72       ,   2.000 , 6.24e+04, 2.1e+35
   J0251+2606    ,  02:51:02.5537     ,  +26:06:09.97       ,   1.170 , 5.32e+09, 1.8e+34
   J0312-0921    ,  03:12:06.2        ,  -9:21:56           ,   0.817 , 2.98e+09, 1.5e+34
   J0337+1715    ,  03:37:43.82589    ,  +17:15:14.828      ,   1.300 , 2.45e+09, 3.4e+34
   B0355+54      ,  03:58:53.7238     ,  +54:13:13.784      ,   1.000 , 5.64e+05, 4.5e+34
   J0437-4715    ,  04:37:15.8961737  ,  -47:15:09.110714   ,   0.157 , 1.59e+09, 1.2e+34
   B0456-69      ,  04:55:47.55       ,  -69:51:34.3        ,   49.700, 4.97e+05, 1.2e+34
   B0531+21      ,  05:34:31.973      ,  +22:00:52.06       ,   2.000 , 1.26e+03, 4.5e+38
   J0535-6935    ,  05:35:00          ,  -69:35:00          ,   49.700, 2.76e+05, 5.6e+34
   J0537-6910    ,  05:37:47.416      ,  -69:10:19.88       ,   49.700, 4.93e+03, 4.9e+38
   J0538+2817    ,  05:38:25.0572     ,  +28:17:09.161      ,   1.300 , 6.18e+05, 4.9e+34
   B0540-69      ,  05:40:11.202      ,  -69:19:54.17       ,   49.700, 1.67e+03, 1.5e+38
   B0540+23      ,  05:43:09.660      ,  +23:29:05          ,   1.565 , 2.53e+05, 4.1e+34
   J0557+1550    ,  05:57:31.44918    ,  +15:50:06.046      ,   1.834 , 5.51e+09, 1.7e+34
   J0613-0200    ,  06:13:43.975901   ,  -02:00:47.23742    ,   0.780 , 5.06e+09, 1.3e+34
   B0611+22      ,  06:14:17.0058     ,  +22:29:56.848      ,   3.571 , 8.93e+04, 6.2e+34
   J0614-3329    ,  06:14:10.3478     ,  -33:29:54.118      ,   0.630 , 2.84e+09, 2.2e+34
   J0621+2514    ,  06:21:10.8542     ,  +25:14:03.83       ,   1.641 , 1.74e+09, 4.9e+34
   J0627+0706    ,  06:27:44.172      ,  +07:06:33.0        ,   2.289 , 2.53e+05, 1.1e+34
   J0631+0646    ,  06:31:52.38       ,  +06:46:14.2        ,   4.583 , 4.86e+05, 1.0e+35
   J0631+1036    ,  06:31:27.524      ,  +10:37:02.5        ,   2.105 , 4.36e+04, 1.7e+35
   J0633+0632    ,  06:33:44.21       ,  +06:32:34.9        ,   1.355 , 5.92e+04, 1.2e+35
   J0633+1746    ,  06:33:54.1530     ,  +17:46:12.909      ,   0.190 , 3.42e+05, 3.2e+34
   B0656+14      ,  06:59:48.196      ,  +14:14:19.4        ,   0.288 , 1.11e+05, 3.8e+34
   J0729-1448    ,  07:29:16.45       ,  -14:48:36.8        ,   2.681 , 3.52e+04, 2.8e+35
   J0740+6620    ,  07:40:45.792765   ,  +66:20:33.51965    ,   1.150 , 3.75e+09, 2.0e+34
   B0740-28      ,  07:42:49.058      ,  -28:22:43.76       ,   2.000 , 1.57e+05, 1.4e+35
   J0820-3826    ,  08:20:59.929      ,  -38:26:42.9        ,   4.084 , 8.1e+05 , 5.0e+34
   J0834-4159    ,  08:34:17.807      ,  -41:59:35.99       ,   5.508 , 4.48e+05, 9.5e+34
   B0833-45      ,  08:35:20.61149    ,  -45:10:34.8751     ,   0.280 , 1.13e+04, 6.9e+36
   J0855-4644    ,  08:55:36.18       ,  -46:44:13.4        ,   5.638 , 1.41e+05, 1.1e+36
   J0857-4424    ,  08:57:55.832      ,  -44:24:10.65       ,   2.833 , 2.47e+05, 2.4e+34
   J0901-4624    ,  09:01:40.12       ,  -46:24:48.5        ,   3.032 , 8e+04   , 4.0e+34
   J0905-5127    ,  09:05:51.96       ,  -51:27:54.05       ,   1.330 , 2.21e+05, 2.4e+34
   B0906-49      ,  09:08:35.46       ,  -49:13:05.00       ,   1.000 , 1.12e+05, 4.9e+35
   J0940-5428    ,  09:40:58.22       ,  -54:28:40.6        ,   0.377 , 4.22e+04, 1.9e+36
   J0952-0607    ,  09:52:08.32141    ,  -06:07:23.490      ,   5.600 , 4.69e+09, 6.7e+34
